year,season,round,team,updated
2016,2016/17,GS,Bayern München,2023-06-16
2016,2016/17,GS,FK Rostov,2023-06-16
2016,2016/17,GS,FC Barcelona,2023-06-16
2016,2016/17,GS,Manchester City,2023-06-16
2016,2016/17,GS,Celtic,2023-06-16
2016,2016/17,GS,Borussia Mönchengladbach,2023-06-16
2016,2016/17,GS,Celtic,2023-06-16
2016,2016/17,GS,Manchester City,2023-06-16
2016,2016/17,GS,Borussia Mönchengladbach,2023-06-16
2016,2016/17,GS,FC Barcelona,2023-06-16
2016,2016/17,GS,Manchester City,2023-06-16
2016,2016/17,GS,Borussia Mönchengladbach,2023-06-16
2016,2016/17,GS,FC Barcelona,2023-06-16
2016,2016/17,GS,Celtic,2023-06-16
2016,2016/17,GS,Dinamo Kiev,2023-06-16
2016,2016/17,GS,Benfica,2023-06-16
2016,2016/17,GS,Napoli,2023-06-16
2016,2016/17,GS,Besiktas,2023-06-16
2016,2016/17,GS,Napoli,2023-06-16
2016,2016/17,GS,Benfica,2023-06-16
2016,2016/17,GS,Besiktas,2023-06-16
2016,2016/17,GS,Dinamo Kiev,2023-06-16
2016,2016/17,GS,Benfica,2023-06-16
2016,2016/17,GS,Besiktas,2023-06-16
2016,2016/17,GS,Dinamo Kiev,2023-06-16
2016,2016/17,GS,Napoli,2023-06-16
2016,2016/17,GS,Paris Saint-Germain,2023-06-16
2016,2016/17,GS,FC Basel,2023-06-16
2016,2016/17,GS,Arsenal,2023-06-16
2016,2016/17,GS,Ludogorets Razgrad,2023-06-16
2016,2016/17,GS,Arsenal,2023-06-16
2016,2016/17,GS,FC Basel,2023-06-16
2016,2016/17,GS,Ludogorets Razgrad,2023-06-16
2016,2016/17,GS,Paris Saint-Germain,2023-06-16
2016,2016/17,GS,FC Basel,2023-06-16
2016,2016/17,GS,Ludogorets Razgrad,2023-06-16
2016,2016/17,GS,Paris Saint-Germain,2023-06-16
2016,2016/17,GS,Arsenal,2023-06-16
2017,2017/18,F,Real Madrid,2023-06-16
2017,2017/18,F,Liverpool,2023-06-16
2017,2017/18,SF,Liverpool,2023-06-16
2017,2017/18,SF,AS Roma,2023-06-16
2017,2017/18,SF,Bayern München,2023-06-16
2017,2017/18,SF,Real Madrid,2023-06-16
2017,2017/18,QF,Liverpool,2023-06-16
2017,2017/18,QF,Manchester City,2023-06-16
2017,2017/18,QF,Juventus,2023-06-16
2017,2017/18,QF,Real Madrid,2023-06-16
2017,2017/18,QF,Sevilla,2023-06-16
2017,2017/18,QF,Bayern München,2023-06-16
2017,2017/18,QF,FC Barcelona,2023-06-16
2017,2017/18,QF,AS Roma,2023-06-16
2017,2017/18,R16,Bayern München,2023-06-16
2017,2017/18,R16,Besiktas,2023-06-16
2017,2017/18,R16,Chelsea,2023-06-16
2017,2017/18,R16,FC Barcelona,2023-06-16
2017,2017/18,R16,Shakhtar Donetsk,2023-06-16
2017,2017/18,R16,AS Roma,2023-06-16
2017,2017/18,R16,Real Madrid,2023-06-16
2017,2017/18,R16,Paris Saint-Germain,2023-06-16
2017,2017/18,R16,Sevilla,2023-06-16
2017,2017/18,R16,Manchester United,2023-06-16
2017,2017/18,R16,FC Porto,2023-06-16
2017,2017/18,R16,Liverpool,2023-06-16
2017,2017/18,R16,FC Basel,2023-06-16
2017,2017/18,R16,Manchester City,2023-06-16
2017,2017/18,R16,Juventus,2023-06-16
2017,2017/18,R16,Tottenham Hotspur,2023-06-16
2017,2017/18,GS,Real Madrid,2023-06-16
2017,2017/18,GS,Tottenham Hotspur,2023-06-16
2017,2017/18,GS,APOEL Nicosia,2023-06-16
2017,2017/18,GS,Borussia Dortmund,2023-06-16
2017,2017/18,GS,APOEL Nicosia,2023-06-16
2017,2017/18,GS,Tottenham Hotspur,2023-06-16
2017,2017/18,GS,Borussia Dortmund,2023-06-16
2017,2017/18,GS,Real Madrid,2023-06-16
2017,2017/18,GS,Tottenham Hotspur,2023-06-16
2017,2017/18,GS,Borussia Dortmund,2023-06-16
2017,2017/18,GS,Real Madrid,2023-06-16
2017,2017/18,GS,APOEL Nicosia,2023-06-16
2017,2017/18,GS,RB Leipzig,2023-06-16
2017,2017/18,GS,FC Porto,2023-06-16
2017,2017/18,GS,AS Monaco,2023-06-16
2017,2017/18,GS,Besiktas,2023-06-16
2017,2017/18,GS,AS Monaco,2023-06-16
2017,2017/18,GS,FC Porto,2023-06-16
2017,2017/18,GS,Besiktas,2023-06-16
2017,2017/18,GS,RB Leipzig,2023-06-16
2017,2017/18,GS,FC Porto,2023-06-16
2017,2017/18,GS,Besiktas,2023-06-16
2017,2017/18,GS,RB Leipzig,2023-06-16
2017,2017/18,GS,AS Monaco,2023-06-16
2017,2017/18,GS,Feyenoord,2023-06-16
2017,2017/18,GS,Shakhtar Donetsk,2023-06-16
2017,2017/18,GS,Manchester City,2023-06-16
2017,2017/18,GS,Napoli,2023-06-16
2017,2017/18,GS,Manchester City,2023-06-16
2017,2017/18,GS,Shakhtar Donetsk,2023-06-16
2017,2017/18,GS,Napoli,2023-06-16
2017,2017/18,GS,Feyenoord,2023-06-16
2017,2017/18,GS,Shakhtar Donetsk,2023-06-16
2017,2017/18,GS,Napoli,2023-06-16
2017,2017/18,GS,Feyenoord,2023-06-16
2017,2017/18,GS,Manchester City,2023-06-16
2017,2017/18,GS,NK Maribor,2023-06-16
2017,2017/18,GS,Liverpool,2023-06-16
2017,2017/18,GS,Spartak Moscow,2023-06-16
2017,2017/18,GS,Sevilla,2023-06-16
2017,2017/18,GS,Spartak Moscow,2023-06-16
2017,2017/18,GS,Liverpool,2023-06-16
2017,2017/18,GS,Sevilla,2023-06-16
2017,2017/18,GS,NK Maribor,2023-06-16
2017,2017/18,GS,Liverpool,2023-06-16
2017,2017/18,GS,Sevilla,2023-06-16
2017,2017/18,GS,NK Maribor,2023-06-16
2017,2017/18,GS,Spartak Moscow,2023-06-16
2017,2017/18,GS,FC Barcelona,2023-06-16
2017,2017/18,GS,Olympiakos Piraeus,2023-06-16
2017,2017/18,GS,Juventus,2023-06-16
2017,2017/18,GS,Sporting CP Lisbon,2023-06-16
2017,2017/18,GS,Juventus,2023-06-16
2017,2017/18,GS,Olympiakos Piraeus,2023-06-16
2017,2017/18,GS,Sporting CP Lisbon,2023-06-16
2017,2017/18,GS,FC Barcelona,2023-06-16
2017,2017/18,GS,Olympiakos Piraeus,2023-06-16
2017,2017/18,GS,Sporting CP Lisbon,2023-06-16
2017,2017/18,GS,FC Barcelona,2023-06-16
2017,2017/18,GS,Juventus,2023-06-16
2017,2017/18,GS,Chelsea,2023-06-16
2017,2017/18,GS,AS Roma,2023-06-16
2017,2017/18,GS,Qarabag FK,2023-06-16
2017,2017/18,GS,Atlético Madrid,2023-06-16
2017,2017/18,GS,Qarabag FK,2023-06-16
2017,2017/18,GS,AS Roma,2023-06-16
2017,2017/18,GS,Atlético Madrid,2023-06-16
2017,2017/18,GS,Chelsea,2023-06-16
2017,2017/18,GS,AS Roma,2023-06-16
2017,2017/18,GS,Atlético Madrid,2023-06-16
2017,2017/18,GS,Chelsea,2023-06-16
2017,2017/18,GS,Qarabag FK,2023-06-16
2017,2017/18,GS,Bayern München,2023-06-16
2017,2017/18,GS,Celtic,2023-06-16
2017,2017/18,GS,Anderlecht,2023-06-16
2017,2017/18,GS,Paris Saint-Germain,2023-06-16
2017,2017/18,GS,Anderlecht,2023-06-16
2017,2017/18,GS,Celtic,2023-06-16
2017,2017/18,GS,Paris Saint-Germain,2023-06-16
2017,2017/18,GS,Bayern München,2023-06-16
2017,2017/18,GS,Celtic,2023-06-16
2017,2017/18,GS,Paris Saint-Germain,2023-06-16
2017,2017/18,GS,Bayern München,2023-06-16
2017,2017/18,GS,Anderlecht,2023-06-16
2017,2017/18,GS,Benfica,2023-06-16
2017,2017/18,GS,Manchester United,2023-06-16
2017,2017/18,GS,CSKA Moscow,2023-06-16
2017,2017/18,GS,FC Basel,2023-06-16
2017,2017/18,GS,CSKA Moscow,2023-06-16
2017,2017/18,GS,Manchester United,2023-06-16
2017,2017/18,GS,FC Basel,2023-06-16
2017,2017/18,GS,Benfica,2023-06-16
2017,2017/18,GS,Manchester United,2023-06-16
2017,2017/18,GS,FC Basel,2023-06-16
2017,2017/18,GS,Benfica,2023-06-16
2017,2017/18,GS,CSKA Moscow,2023-06-16
2018,2018/19,F,Tottenham Hotspur,2023-06-16
2018,2018/19,F,Liverpool,2023-06-16
2018,2018/19,SF,FC Barcelona,2023-06-16
2018,2018/19,SF,Liverpool,2023-06-16
2018,2018/19,SF,Tottenham Hotspur,2023-06-16
2018,2018/19,SF,Ajax,2023-06-16
2018,2018/19,QF,Manchester United,2023-06-16
2018,2018/19,QF,FC Barcelona,2023-06-16
2018,2018/19,QF,Tottenham Hotspur,2023-06-16
2018,2018/19,QF,Manchester City,2023-06-16
2018,2018/19,QF,Liverpool,2023-06-16
2018,2018/19,QF,FC Porto,2023-06-16
2018,2018/19,QF,Ajax,2023-06-16
2018,2018/19,QF,Juventus,2023-06-16
2018,2018/19,R16,Liverpool,2023-06-16
2018,2018/19,R16,Bayern München,2023-06-16
2018,2018/19,R16,Ajax,2023-06-16
2018,2018/19,R16,Real Madrid,2023-06-16
2018,2018/19,R16,AS Roma,2023-06-16
2018,2018/19,R16,FC Porto,2023-06-16
2018,2018/19,R16,Olympique Lyon,2023-06-16
2018,2018/19,R16,FC Barcelona,2023-06-16
2018,2018/19,R16,Tottenham Hotspur,2023-06-16
2018,2018/19,R16,Borussia Dortmund,2023-06-16
2018,2018/19,R16,Manchester United,2023-06-16
2018,2018/19,R16,Paris Saint-Germain,2023-06-16
2018,2018/19,R16,Atlético Madrid,2023-06-16
2018,2018/19,R16,Juventus,2023-06-16
2018,2018/19,R16,Schalke 04,2023-06-16
2018,2018/19,R16,Manchester City,2023-06-16
2018,2018/19,GS,Young Boys,2023-06-16
2018,2018/19,GS,Valencia,2023-06-16
2018,2018/19,GS,Manchester United,2023-06-16
2018,2018/19,GS,Juventus,2023-06-16
2018,2018/19,GS,Manchester United,2023-06-16
2018,2018/19,GS,Valencia,2023-06-16
2018,2018/19,GS,Juventus,2023-06-16
2018,2018/19,GS,Young Boys,2023-06-16
2018,2018/19,GS,Valencia,2023-06-16
2018,2018/19,GS,Juventus,2023-06-16
2018,2018/19,GS,Young Boys,2023-06-16
2018,2018/19,GS,Manchester United,2023-06-16
2018,2018/19,GS,Real Madrid,2023-06-16
2018,2018/19,GS,Viktoria Plzen,2023-06-16
2018,2018/19,GS,AS Roma,2023-06-16
2018,2018/19,GS,CSKA Moscow,2023-06-16
2018,2018/19,GS,AS Roma,2023-06-16
2018,2018/19,GS,Viktoria Plzen,2023-06-16
2018,2018/19,GS,CSKA Moscow,2023-06-16
2018,2018/19,GS,Real Madrid,2023-06-16
2018,2018/19,GS,Viktoria Plzen,2023-06-16
2018,2018/19,GS,CSKA Moscow,2023-06-16
2018,2018/19,GS,Real Madrid,2023-06-16
2018,2018/19,GS,AS Roma,2023-06-16
2018,2018/19,GS,Shakhtar Donetsk,2023-06-16
2018,2018/19,GS,Manchester City,2023-06-16
2018,2018/19,GS,1899 Hoffenheim,2023-06-16
2018,2018/19,GS,Olympique Lyon,2023-06-16
2018,2018/19,GS,1899 Hoffenheim,2023-06-16
2018,2018/19,GS,Manchester City,2023-06-16
2018,2018/19,GS,Olympique Lyon,2023-06-16
2018,2018/19,GS,Shakhtar Donetsk,2023-06-16
2018,2018/19,GS,Manchester City,2023-06-16
2018,2018/19,GS,Olympique Lyon,2023-06-16
2018,2018/19,GS,Shakhtar Donetsk,2023-06-16
2018,2018/19,GS,1899 Hoffenheim,2023-06-16
2018,2018/19,GS,Ajax,2023-06-16
2018,2018/19,GS,Benfica,2023-06-16
2018,2018/19,GS,AEK Athens,2023-06-16
2018,2018/19,GS,Bayern München,2023-06-16
2018,2018/19,GS,AEK Athens,2023-06-16
2018,2018/19,GS,Benfica,2023-06-16
2018,2018/19,GS,Bayern München,2023-06-16
2018,2018/19,GS,Ajax,2023-06-16
2018,2018/19,GS,Benfica,2023-06-16
2018,2018/19,GS,Bayern München,2023-06-16
2018,2018/19,GS,Ajax,2023-06-16
2018,2018/19,GS,AEK Athens,2023-06-16
2018,2018/19,GS,Galatasaray,2023-06-16
2018,2018/19,GS,Schalke 04,2023-06-16
2018,2018/19,GS,Lokomotiv Moscow,2023-06-16
2018,2018/19,GS,FC Porto,2023-06-16
2018,2018/19,GS,Lokomotiv Moscow,2023-06-16
2018,2018/19,GS,Schalke 04,2023-06-16
2018,2018/19,GS,FC Porto,2023-06-16
2018,2018/19,GS,Galatasaray,2023-06-16
2018,2018/19,GS,Schalke 04,2023-06-16
2018,2018/19,GS,FC Porto,2023-06-16
2018,2018/19,GS,Galatasaray,2023-06-16
2018,2018/19,GS,Lokomotiv Moscow,2023-06-16
2018,2018/19,GS,Liverpool,2023-06-16
2018,2018/19,GS,Red Star Belgrade,2023-06-16
2018,2018/19,GS,Paris Saint-Germain,2023-06-16
2018,2018/19,GS,Napoli,2023-06-16
2018,2018/19,GS,Paris Saint-Germain,2023-06-16
2018,2018/19,GS,Red Star Belgrade,2023-06-16
2018,2018/19,GS,Napoli,2023-06-16
2018,2018/19,GS,Liverpool,2023-06-16
2018,2018/19,GS,Red Star Belgrade,2023-06-16
2018,2018/19,GS,Napoli,2023-06-16
2018,2018/19,GS,Liverpool,2023-06-16
2018,2018/19,GS,Paris Saint-Germain,2023-06-16
2018,2018/19,GS,FC Barcelona,2023-06-16
2018,2018/19,GS,Internazionale,2023-06-16
2018,2018/19,GS,PSV Eindhoven,2023-06-16
2018,2018/19,GS,Tottenham Hotspur,2023-06-16
2018,2018/19,GS,PSV Eindhoven,2023-06-16
2018,2018/19,GS,Internazionale,2023-06-16
2018,2018/19,GS,Tottenham Hotspur,2023-06-16
2018,2018/19,GS,FC Barcelona,2023-06-16
2018,2018/19,GS,Internazionale,2023-06-16
2018,2018/19,GS,Tottenham Hotspur,2023-06-16
2018,2018/19,GS,FC Barcelona,2023-06-16
2018,2018/19,GS,PSV Eindhoven,2023-06-16
2018,2018/19,GS,Club Brugge,2023-06-16
2018,2018/19,GS,AS Monaco,2023-06-16
2018,2018/19,GS,Borussia Dortmund,2023-06-16
2018,2018/19,GS,Atlético Madrid,2023-06-16
2018,2018/19,GS,Borussia Dortmund,2023-06-16
2018,2018/19,GS,AS Monaco,2023-06-16
2018,2018/19,GS,Atlético Madrid,2023-06-16
2018,2018/19,GS,Club Brugge,2023-06-16
2018,2018/19,GS,AS Monaco,2023-06-16
2018,2018/19,GS,Atlético Madrid,2023-06-16
2018,2018/19,GS,Club Brugge,2023-06-16
2018,2018/19,GS,Borussia Dortmund,2023-06-16
2019,2019/20,F,Paris Saint-Germain,2023-06-16
2019,2019/20,F,Bayern München,2023-06-16
2019,2019/20,SF,Olympique Lyon,2023-06-16
2019,2019/20,SF,Bayern München,2023-06-16
2019,2019/20,SF,RB Leipzig,2023-06-16
2019,2019/20,SF,Paris Saint-Germain,2023-06-16
2019,2019/20,QF,Manchester City,2023-06-16
2019,2019/20,QF,Olympique Lyon,2023-06-16
2019,2019/20,QF,FC Barcelona,2023-06-16
2019,2019/20,QF,Bayern München,2023-06-16
2019,2019/20,QF,RB Leipzig,2023-06-16
2019,2019/20,QF,Atlético Madrid,2023-06-16
2019,2019/20,QF,Atalanta,2023-06-16
2019,2019/20,QF,Paris Saint-Germain,2023-06-16
2019,2019/20,R16,Napoli,2023-06-16
2019,2019/20,R16,FC Barcelona,2023-06-16
2019,2019/20,R16,Tottenham Hotspur,2023-06-16
2019,2019/20,R16,RB Leipzig,2023-06-16
2019,2019/20,R16,Olympique Lyon,2023-06-16
2019,2019/20,R16,Juventus,2023-06-16
2019,2019/20,R16,Chelsea,2023-06-16
2019,2019/20,R16,Bayern München,2023-06-16
2019,2019/20,R16,Atlético Madrid,2023-06-16
2019,2019/20,R16,Liverpool,2023-06-16
2019,2019/20,R16,Atalanta,2023-06-16
2019,2019/20,R16,Valencia,2023-06-16
2019,2019/20,R16,Real Madrid,2023-06-16
2019,2019/20,R16,Manchester City,2023-06-16
2019,2019/20,R16,Borussia Dortmund,2023-06-16
2019,2019/20,R16,Paris Saint-Germain,2023-06-16
2019,2019/20,GS,Ajax,2023-06-16
2019,2019/20,GS,Chelsea,2023-06-16
2019,2019/20,GS,Lille OSC,2023-06-16
2019,2019/20,GS,Valencia,2023-06-16
2019,2019/20,GS,Lille OSC,2023-06-16
2019,2019/20,GS,Chelsea,2023-06-16
2019,2019/20,GS,Valencia,2023-06-16
2019,2019/20,GS,Ajax,2023-06-16
2019,2019/20,GS,Chelsea,2023-06-16
2019,2019/20,GS,Valencia,2023-06-16
2019,2019/20,GS,Ajax,2023-06-16
2019,2019/20,GS,Lille OSC,2023-06-16
2019,2019/20,GS,Benfica,2023-06-16
2019,2019/20,GS,Olympique Lyon,2023-06-16
2019,2019/20,GS,RB Leipzig,2023-06-16
2019,2019/20,GS,Zenit St. Petersburg,2023-06-16
2019,2019/20,GS,RB Leipzig,2023-06-16
2019,2019/20,GS,Olympique Lyon,2023-06-16
2019,2019/20,GS,Zenit St. Petersburg,2023-06-16
2019,2019/20,GS,Benfica,2023-06-16
2019,2019/20,GS,Olympique Lyon,2023-06-16
2019,2019/20,GS,Zenit St. Petersburg,2023-06-16
2019,2019/20,GS,Benfica,2023-06-16
2019,2019/20,GS,RB Leipzig,2023-06-16
2019,2019/20,GS,Internazionale,2023-06-16
2019,2019/20,GS,Borussia Dortmund,2023-06-16
2019,2019/20,GS,Slavia Praha,2023-06-16
2019,2019/20,GS,FC Barcelona,2023-06-16
2019,2019/20,GS,Slavia Praha,2023-06-16
2019,2019/20,GS,Borussia Dortmund,2023-06-16
2019,2019/20,GS,FC Barcelona,2023-06-16
2019,2019/20,GS,Internazionale,2023-06-16
2019,2019/20,GS,Borussia Dortmund,2023-06-16
2019,2019/20,GS,FC Barcelona,2023-06-16
2019,2019/20,GS,Internazionale,2023-06-16
2019,2019/20,GS,Slavia Praha,2023-06-16
2019,2019/20,GS,FC Salzburg,2023-06-16
2019,2019/20,GS,Napoli,2023-06-16
2019,2019/20,GS,Racing Genk,2023-06-16
2019,2019/20,GS,Liverpool,2023-06-16
2019,2019/20,GS,Racing Genk,2023-06-16
2019,2019/20,GS,Napoli,2023-06-16
2019,2019/20,GS,Liverpool,2023-06-16
2019,2019/20,GS,FC Salzburg,2023-06-16
2019,2019/20,GS,Napoli,2023-06-16
2019,2019/20,GS,Liverpool,2023-06-16
2019,2019/20,GS,FC Salzburg,2023-06-16
2019,2019/20,GS,Racing Genk,2023-06-16
2019,2019/20,GS,Atlético Madrid,2023-06-16
2019,2019/20,GS,Bayer Leverkusen,2023-06-16
2019,2019/20,GS,Juventus,2023-06-16
2019,2019/20,GS,Lokomotiv Moscow,2023-06-16
2019,2019/20,GS,Juventus,2023-06-16
2019,2019/20,GS,Bayer Leverkusen,2023-06-16
2019,2019/20,GS,Lokomotiv Moscow,2023-06-16
2019,2019/20,GS,Atlético Madrid,2023-06-16
2019,2019/20,GS,Bayer Leverkusen,2023-06-16
2019,2019/20,GS,Lokomotiv Moscow,2023-06-16
2019,2019/20,GS,Atlético Madrid,2023-06-16
2019,2019/20,GS,Juventus,2023-06-16
2019,2019/20,GS,Shakhtar Donetsk,2023-06-16
2019,2019/20,GS,Dinamo Zagreb,2023-06-16
2019,2019/20,GS,Manchester City,2023-06-16
2019,2019/20,GS,Atalanta,2023-06-16
2019,2019/20,GS,Manchester City,2023-06-16
2019,2019/20,GS,Dinamo Zagreb,2023-06-16
2019,2019/20,GS,Atalanta,2023-06-16
2019,2019/20,GS,Shakhtar Donetsk,2023-06-16
2019,2019/20,GS,Dinamo Zagreb,2023-06-16
2019,2019/20,GS,Atalanta,2023-06-16
2019,2019/20,GS,Shakhtar Donetsk,2023-06-16
2019,2019/20,GS,Manchester City,2023-06-16
2019,2019/20,GS,Olympiakos Piraeus,2023-06-16
2019,2019/20,GS,Bayern München,2023-06-16
2019,2019/20,GS,Tottenham Hotspur,2023-06-16
2019,2019/20,GS,Red Star Belgrade,2023-06-16
2019,2019/20,GS,Tottenham Hotspur,2023-06-16
2019,2019/20,GS,Bayern München,2023-06-16
2019,2019/20,GS,Red Star Belgrade,2023-06-16
2019,2019/20,GS,Olympiakos Piraeus,2023-06-16
2019,2019/20,GS,Bayern München,2023-06-16
2019,2019/20,GS,Red Star Belgrade,2023-06-16
2019,2019/20,GS,Olympiakos Piraeus,2023-06-16
2019,2019/20,GS,Tottenham Hotspur,2023-06-16
2019,2019/20,GS,Club Brugge,2023-06-16
2019,2019/20,GS,Paris Saint-Germain,2023-06-16
2019,2019/20,GS,Galatasaray,2023-06-16
2019,2019/20,GS,Real Madrid,2023-06-16
2019,2019/20,GS,Galatasaray,2023-06-16
2019,2019/20,GS,Paris Saint-Germain,2023-06-16
2019,2019/20,GS,Real Madrid,2023-06-16
2019,2019/20,GS,Club Brugge,2023-06-16
2019,2019/20,GS,Paris Saint-Germain,2023-06-16
2019,2019/20,GS,Real Madrid,2023-06-16
2019,2019/20,GS,Club Brugge,2023-06-16
2019,2019/20,GS,Galatasaray,2023-06-16
2020,2020/21,F,Manchester City,2023-06-16
2020,2020/21,F,Chelsea,2023-06-16
2020,2020/21,SF,Real Madrid,2023-06-16
2020,2020/21,SF,Chelsea,2023-06-16
2020,2020/21,SF,Paris Saint-Germain,2023-06-16
2020,2020/21,SF,Manchester City,2023-06-16
2020,2020/21,QF,Real Madrid,2023-06-16
2020,2020/21,QF,Liverpool,2023-06-16
2020,2020/21,QF,Bayern München,2023-06-16
2020,2020/21,QF,Paris Saint-Germain,2023-06-16
2020,2020/21,QF,FC Porto,2023-06-16
2020,2020/21,QF,Chelsea,2023-06-16
2020,2020/21,QF,Manchester City,2023-06-16
2020,2020/21,QF,Borussia Dortmund,2023-06-16
2020,2020/21,R16,Atalanta,2023-06-16
2020,2020/21,R16,Real Madrid,2023-06-16
2020,2020/21,R16,Sevilla,2023-06-16
2020,2020/21,R16,Borussia Dortmund,2023-06-16
2020,2020/21,R16,FC Barcelona,2023-06-16
2020,2020/21,R16,Paris Saint-Germain,2023-06-16
2020,2020/21,R16,FC Porto,2023-06-16
2020,2020/21,R16,Juventus,2023-06-16
2020,2020/21,R16,RB Leipzig,2023-06-16
2020,2020/21,R16,Liverpool,2023-06-16
2020,2020/21,R16,Atlético Madrid,2023-06-16
2020,2020/21,R16,Chelsea,2023-06-16
2020,2020/21,R16,Lazio,2023-06-16
2020,2020/21,R16,Bayern München,2023-06-16
2020,2020/21,R16,Borussia Mönchengladbach,2023-06-16
2020,2020/21,R16,Manchester City,2023-06-16
2020,2020/21,GS,RB Leipzig,2023-06-16
2020,2020/21,GS,Paris Saint-Germain,2023-06-16
2020,2020/21,GS,Istanbul Basaksehir,2023-06-16
2020,2020/21,GS,Manchester United,2023-06-16
2020,2020/21,GS,Istanbul Basaksehir,2023-06-16
2020,2020/21,GS,Paris Saint-Germain,2023-06-16
2020,2020/21,GS,Manchester United,2023-06-16
2020,2020/21,GS,RB Leipzig,2023-06-16
2020,2020/21,GS,Paris Saint-Germain,2023-06-16
2020,2020/21,GS,Manchester United,2023-06-16
2020,2020/21,GS,RB Leipzig,2023-06-16
2020,2020/21,GS,Istanbul Basaksehir,2023-06-16
2020,2020/21,GS,FC Barcelona,2023-06-16
2020,2020/21,GS,Dinamo Kiev,2023-06-16
2020,2020/21,GS,Ferencváros,2023-06-16
2020,2020/21,GS,Juventus,2023-06-16
2020,2020/21,GS,Ferencváros,2023-06-16
2020,2020/21,GS,Dinamo Kiev,2023-06-16
2020,2020/21,GS,Juventus,2023-06-16
2020,2020/21,GS,FC Barcelona,2023-06-16
2020,2020/21,GS,Dinamo Kiev,2023-06-16
2020,2020/21,GS,Juventus,2023-06-16
2020,2020/21,GS,FC Barcelona,2023-06-16
2020,2020/21,GS,Ferencváros,2023-06-16
2020,2020/21,GS,Zenit St. Petersburg,2023-06-16
2020,2020/21,GS,Lazio,2023-06-16
2020,2020/21,GS,Club Brugge,2023-06-16
2020,2020/21,GS,Borussia Dortmund,2023-06-16
2020,2020/21,GS,Club Brugge,2023-06-16
2020,2020/21,GS,Lazio,2023-06-16
2020,2020/21,GS,Borussia Dortmund,2023-06-16
2020,2020/21,GS,Zenit St. Petersburg,2023-06-16
2020,2020/21,GS,Lazio,2023-06-16
2020,2020/21,GS,Borussia Dortmund,2023-06-16
2020,2020/21,GS,Zenit St. Petersburg,2023-06-16
2020,2020/21,GS,Club Brugge,2023-06-16
2020,2020/21,GS,Chelsea,2023-06-16
2020,2020/21,GS,Stade Rennais,2023-06-16
2020,2020/21,GS,Sevilla,2023-06-16
2020,2020/21,GS,FK Krasnodar,2023-06-16
2020,2020/21,GS,Sevilla,2023-06-16
2020,2020/21,GS,Stade Rennais,2023-06-16
2020,2020/21,GS,FK Krasnodar,2023-06-16
2020,2020/21,GS,Chelsea,2023-06-16
2020,2020/21,GS,Stade Rennais,2023-06-16
2020,2020/21,GS,FK Krasnodar,2023-06-16
2020,2020/21,GS,Chelsea,2023-06-16
2020,2020/21,GS,Sevilla,2023-06-16
2020,2020/21,GS,FC Midtjylland,2023-06-16
2020,2020/21,GS,Ajax,2023-06-16
2020,2020/21,GS,Atalanta,2023-06-16
2020,2020/21,GS,Liverpool,2023-06-16
2020,2020/21,GS,Atalanta,2023-06-16
2020,2020/21,GS,Ajax,2023-06-16
2020,2020/21,GS,Liverpool,2023-06-16
2020,2020/21,GS,FC Midtjylland,2023-06-16
2020,2020/21,GS,Ajax,2023-06-16
2020,2020/21,GS,Liverpool,2023-06-16
2020,2020/21,GS,FC Midtjylland,2023-06-16
2020,2020/21,GS,Atalanta,2023-06-16
2020,2020/21,GS,Manchester City,2023-06-16
2020,2020/21,GS,Olympiakos Piraeus,2023-06-16
2020,2020/21,GS,FC Porto,2023-06-16
2020,2020/21,GS,Olympique Marseille,2023-06-16
2020,2020/21,GS,FC Porto,2023-06-16
2020,2020/21,GS,Olympiakos Piraeus,2023-06-16
2020,2020/21,GS,Olympique Marseille,2023-06-16
2020,2020/21,GS,Manchester City,2023-06-16
2020,2020/21,GS,Olympiakos Piraeus,2023-06-16
2020,2020/21,GS,Olympique Marseille,2023-06-16
2020,2020/21,GS,Manchester City,2023-06-16
2020,2020/21,GS,FC Porto,2023-06-16
2020,2020/21,GS,Real Madrid,2023-06-16
2020,2020/21,GS,Internazionale,2023-06-16
2020,2020/21,GS,Shakhtar Donetsk,2023-06-16
2020,2020/21,GS,Borussia Mönchengladbach,2023-06-16
2020,2020/21,GS,Shakhtar Donetsk,2023-06-16
2020,2020/21,GS,Internazionale,2023-06-16
2020,2020/21,GS,Borussia Mönchengladbach,2023-06-16
2020,2020/21,GS,Real Madrid,2023-06-16
2020,2020/21,GS,Internazionale,2023-06-16
2020,2020/21,GS,Borussia Mönchengladbach,2023-06-16
2020,2020/21,GS,Real Madrid,2023-06-16
2020,2020/21,GS,Shakhtar Donetsk,2023-06-16
2020,2020/21,GS,FC Salzburg,2023-06-16
2020,2020/21,GS,Bayern München,2023-06-16
2020,2020/21,GS,Lokomotiv Moscow,2023-06-16
2020,2020/21,GS,Atlético Madrid,2023-06-16
2020,2020/21,GS,Lokomotiv Moscow,2023-06-16
2020,2020/21,GS,Bayern München,2023-06-16
2020,2020/21,GS,Atlético Madrid,2023-06-16
2020,2020/21,GS,FC Salzburg,2023-06-16
2020,2020/21,GS,Bayern München,2023-06-16
2020,2020/21,GS,Atlético Madrid,2023-06-16
2020,2020/21,GS,FC Salzburg,2023-06-16
2020,2020/21,GS,Lokomotiv Moscow,2023-06-16
2021,2021/22,F,Liverpool,2023-06-16
